import time: self [us] | cumulative | imported package
import time:        64 |         64 | winreg
import time:       145 |        145 |   _io
import time:        24 |         24 |   marshal
import time:       115 |        115 |   nt
import time:       232 |        515 | _frozen_importlib_external
import time:       316 |        316 |   time
import time:        83 |        399 | zipimport
import time:        31 |         31 |     _codecs
import time:       221 |        252 |   codecs
import time:       932 |        932 |   encodings.aliases
import time:      1394 |       2577 | encodings
import time:       530 |        530 | encodings.utf_8
import time:       517 |        517 | encodings.cp1252
import time:        32 |         32 | _signal
import time:        21 |         21 |     _abc
import time:        80 |        101 |   abc
import time:        98 |        199 | io
import time:        38 |         38 |       _stat
import time:        39 |         77 |     stat
import time:       452 |        452 |     _collections_abc
import time:        28 |         28 |       genericpath
import time:        47 |         47 |       _winapi
import time:       215 |        289 |     ntpath
import time:       183 |        999 |   os
import time:        42 |         42 |   _sitebuiltins
import time:      1409 |       1409 |   _distutils_hack
import time:       609 |        609 |   types
import time:       594 |        594 |       warnings
import time:       591 |       1185 |     importlib
import time:       548 |        548 |     importlib._abc
import time:        87 |         87 |         itertools
import time:       444 |        444 |         keyword
import time:        97 |         97 |           _operator
import time:       537 |        633 |         operator
import time:       522 |        522 |         reprlib
import time:        52 |         52 |         _collections
import time:      1050 |       2787 |       collections
import time:       113 |        113 |         _functools
import time:       799 |        912 |       functools
import time:       733 |       4430 |     contextlib
import time:       535 |        535 |       _weakrefset
import time:      1329 |       1863 |     threading
import time:       112 |       8137 |   importlib.util
import time:        43 |         43 |   importlib.machinery
import time:       654 |        654 |     pywin32_system32
import time:      1084 |       1737 |   pywin32_bootstrap
import time:       357 |        357 |   sitecustomize
import time:       316 |        316 |   usercustomize
import time:      1998 |      15642 | site
import time:        42 |         42 |   atexit
import time:      1410 |       1410 |       enum
import time:       117 |        117 |         _sre
import time:       593 |        593 |           re._constants
import time:       579 |       1171 |         re._parser
import time:       449 |        449 |         re._casefix
import time:       677 |       2414 |       re._compiler
import time:       518 |        518 |       copyreg
import time:       834 |       5174 |     re
import time:      1757 |       6930 |   platform
import time:      3151 |       3151 |       _ctypes
import time:        63 |         63 |         _struct
import time:       543 |        606 |       struct
import time:       621 |        621 |       ctypes._endian
import time:      1138 |       5514 |     ctypes
import time:       364 |        364 |           posix
import time:        57 |        421 |         posixpath
import time:       465 |        885 |       fnmatch
